"Index","en-US","cs-CZ","da-DK","de-DE","en-GB","es-ES","es-MX","et-EE","fi-FI","fr-CA","fr-FR","hr-HR","hu-HU","it-IT","lt-LT","lv-LV","nb-NO","nl-NL","pl-PL","pt-BR","pt-PT","ro-RO","sk-SK","sl-SI","sr-Latn-RS","sv-SE","tr-TR"
"10068","WebSocket Connections Rejected / Sec","Počet odmítnutých připojení protokolu WebSocket za sekundu","","Zurückgewiesene WebSocket-Verbindungen/s","WebSocket Connections Rejected / Sec","","","WebSocket Connections Rejected / Sec","","Connexions WebSocket rejetées par seconde","Connexions WebSocket rejetées par seconde","WebSocket Connections Rejected / Sec","Visszautasított WebSocket-kapcsolatok gyakorisága (kapcsolat/s)","Connessioni WebSocket rifiutate/sec","WebSocket Connections Rejected / Sec","WebSocket Connections Rejected / Sec","","Geweigerde WebSocket-verbindingen / sec.","Odrzucone połączenia z użyciem protokołu WebSocket/s","Conexões WebSocket Rejeitadas/s","Ligações WebSocket Rejeitadas/Seg","WebSocket Connections Rejected / Sec","WebSocket Connections Rejected / Sec","WebSocket Connections Rejected / Sec","WebSocket Connections Rejected / Sec","Nekade WebSocket-anslutningar/s","Reddedilen WebSocket Bağlantısı / Sn"
"10070","WebSocket Connections Accepted / Sec","Počet přijatých připojení protokolu WebSocket za sekundu","","Akzeptierte WebSocket-Verbindungen/s","WebSocket Connections Accepted / Sec","","","WebSocket Connections Accepted / Sec","","Connexions WebSocket acceptées par seconde","Connexions WebSocket acceptées par seconde","WebSocket Connections Accepted / Sec","Elfogadott WebSocket-kapcsolatok gyakorisága (kapcsolat/s)","Connessioni WebSocket accettate/sec","WebSocket Connections Accepted / Sec","WebSocket Connections Accepted / Sec","","Geaccepteerde WebSocket-verbindingen / sec.","Zaakceptowane połączenia z użyciem protokołu WebSocket/s","Conexões WebSocket Aceitas/s","Ligações WebSocket Aceites/Seg","WebSocket Connections Accepted / Sec","WebSocket Connections Accepted / Sec","WebSocket Connections Accepted / Sec","WebSocket Connections Accepted / Sec","Accepterade WebSocket-anslutningar/s","Kabul Edilen WebSocket Bağlantısı / Sn"
"10072","WAS_W3WP","WAS_W3WP","","WAS_W3WP","WAS_W3WP","","","WAS_W3WP","","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP","WAS_W3WP"
"10074","Total Requests Served","Celkový počet zpracovaných požadavků","","Gesamtanzahl übermittelter Anforderungen","Total Requests Served","","","Total Requests Served","","Nombre total de demandes traitées","Nombre total de demandes traitées","Total Requests Served","Kiszolgált kérelmek száma összesen","Totale richieste fornite","Total Requests Served","Total Requests Served","","Totaal aantal geleverde aanvragen","Całkowita liczba obsłużonych żądań","Total de Solicitações Atendidas","Total de Pedidos Servidos","Total Requests Served","Total Requests Served","Total Requests Served","Total Requests Served","Totalt antal betjänade begäranden","Karşılanan Toplam İstek Sayısı"
"10076","Total Health Pings.","Celkový počet ochranných příkazů ping","","Gesamtanzahl der Statuspings","Total Health Pings.","","","Total Health Pings.","","Nombre total de requêtes Ping d'intégrité.","Nombre total de requêtes Ping d'intégrité.","Total Health Pings.","Állapotfigyelési ping-üzenetek száma összesen","Totale ping di integrità.","Total Health Pings.","Total Health Pings.","","Totaal aantal statuspings.","Całkowita liczba poleceń ping kondycji","Total de Pings de Integridade.","Total de Pings ao Estado de Funcionamento.","Total Health Pings.","Total Health Pings.","Total Health Pings.","Total Health Pings.","Totalt antal pingmeddelanden om hälsa.","Toplam Sağlıklı Ping Sayısı."
"10078","Total Runtime Status Queries","Celkový počet dotazů na běhový stav","","Gesamtanzahl der Laufzeitstatusabfragen","Total Runtime Status Queries","","","Total Runtime Status Queries","","Nombre total de requêtes d'état d'exécution","Nombre total de requêtes d'état d'exécution","Total Runtime Status Queries","Futásidejű állapotlekérdezések száma összesen","Totale query stato runtime","Total Runtime Status Queries","Total Runtime Status Queries","","Totaal aantal query's voor de runtimestatus","Całkowita liczba zapytań stanu czasu wykonywania","Total de Consultas de Status de Tempo de Execução","Total de Consultas ao Estado do Tempo de Execução","Total Runtime Status Queries","Total Runtime Status Queries","Total Runtime Status Queries","Total Runtime Status Queries","Totalt antal frågor om körningsstatus","Toplam Çalışma Zamanı Durum Sorgusu"
"1008","Current NonPaged memory","Aktuální nestránkovaná paměť","Aktuel hukommelse, der ikke kan udveksles","Aktueller Nicht-Auslagerungsspeicher","Current NonPaged memory","Memoria no paginada actual","Memoria no paginada actual","Current NonPaged memory","Tämänhetkinen sivuttamaton muisti","Mémoire non paginée courante","Mémoire non paginée courante","Current NonPaged memory","Jelenleg használt nem lapozható memória mérete (bájt)","Memoria non paginata corrente","Current NonPaged memory","Current NonPaged memory","Gjeldende ikke-vekslebart minne","Huidig niet-wisselbaar geheugen","Bieżąca pamięć niestronicowana","Memória não-paginável atual","Memória não paginada atual","Current NonPaged memory","Current NonPaged memory","Current NonPaged memory","Current NonPaged memory","Aktuellt icke-växlingsbart minne","Geçerli Diske Alınamayan Bellek"
"10080","Active Listener Channels","Počet aktivních kanálů naslouchání","","Aktive Listenerkanäle","Active Listener Channels","","","Active Listener Channels","","Canaux d'écouteur actifs","Canaux d'écouteur actifs","Active Listener Channels","Aktív figyelőcsatornák","Canali del listener attivi","Active Listener Channels","Active Listener Channels","","Actieve listener-kanalen","Aktywne kanały odbiornika","Canais de Escuta Ativos","Canais de Escuta Ativos","Active Listener Channels","Active Listener Channels","Active Listener Channels","Active Listener Channels","Kanaler för aktiva lyssnare","Etkin Dinleyici Kanalı Sayısı"
"10082","Active Protocol Handlers","Počet aktivních obslužných rutin protokolů","","Aktive Protokollhandler","Active Protocol Handlers","","","Active Protocol Handlers","","Gestionnaires de protocole actifs","Gestionnaires de protocole actifs","Active Protocol Handlers","Aktív protokollkezelők","Gestori di protocollo attivi","Active Protocol Handlers","Active Protocol Handlers","","Actieve protocolhandlers","Aktywne obsługi protokołu","Manipuladores de Protocolo Ativos","Processadores de Protocolos Ativos","Active Protocol Handlers","Active Protocol Handlers","Active Protocol Handlers","Active Protocol Handlers","Aktiva protokollhanterare","Etkin Protokol İşleyici Sayısı"
"10084","Total WAS Messages Received","Celkový počet přijatých zpráv služby WAS","","Gesamtanzahl empfangener WAS-Meldungen","Total WAS Messages Received","","","Total WAS Messages Received","","Nombre total de messages WAS reçus","Nombre total de messages WAS reçus","Total WAS Messages Received","A Windows folyamataktivációs szolgáltatástól (WAS) kapott üzenetek száma összesen","Totale messaggi Attivazione processo Windows (WAS) ricevuti","Total WAS Messages Received","Total WAS Messages Received","","Totaal aantal ontvangen WAS-berichten","Całkowita liczba odebranych komunikatów usługi WAS","Total de Mensagens WAS Recebidas","Total de Mensagens do WAS Recebidas","Total WAS Messages Received","Total WAS Messages Received","Total WAS Messages Received","Total WAS Messages Received","Totalt antal mottagna WAS-meddelanden","Toplam Alınmış WAS İletisi Sayısı"
"10086","Total Messages Sent to WAS","Celkový počet zpráv odeslaných službě WAS","","Gesamtanzahl der an WAS gesendeten Meldungen","Total Messages Sent to WAS","","","Total Messages Sent to WAS","","Nombre total de messages envoyés au service WAS","Nombre total de messages envoyés au service WAS","Total Messages Sent to WAS","A Windows folyamataktivációs szolgáltatásnak (WAS) elküldött üzenetek száma összesen","Totale messaggi inviati ad Attivazione processo Windows (WAS) ","Total Messages Sent to WAS","Total Messages Sent to WAS","","Totaal aantal verzonden berichten aan WAS","Całkowita liczba komunikatów wysłanych do usługi WAS","Total de Mensagens Enviadas ao WAS","Total de Mensagens Enviadas para o WAS","Total Messages Sent to WAS","Total Messages Sent to WAS","Total Messages Sent to WAS","Total Messages Sent to WAS","Totalt antal meddelanden skickade till WAS","Toplam WAS'a Gönderilen İleti Sayısı"
"10088","Health Ping Reply Latency","Latence odpovědi ochranného příkazu ping","","Antwortwartezeit von Statuspings","Health Ping Reply Latency","","","Health Ping Reply Latency","","Temps de réponse aux requêtes Ping d'intégrité","Temps de réponse aux requêtes Ping d'intégrité","Health Ping Reply Latency","Állapotfigyelési ping-üzenetek válaszkésleltetése","Latenza risposta ping integrità","Health Ping Reply Latency","Health Ping Reply Latency","","Latentie van antwoorden op statuspings","Oczekiwanie na odpowiedź na polecenie ping kondycji","Latência de Resposta de Ping de Integridade","Latência de Resposta do Ping ao Estado de Funcionamento","Health Ping Reply Latency","Health Ping Reply Latency","Health Ping Reply Latency","Health Ping Reply Latency","Svarstid för pingmeddelanden om hälsa","Sağlıklı Ping Yanıtı Gecikmesi"
"10090","Microsoft FTP Service","Služba Microsoft FTP Service","Microsoft FTP-tjeneste","Microsoft-FTP-Dienst","Microsoft FTP Service","","","Microsoft FTP Service","Microsoftin FTP-palvelu","Service FTP Microsoft","Service FTP Microsoft","Microsoft FTP Service","Microsoft FTP szolgáltatás","Microsoft FTP Service","Microsoft FTP Service","Microsoft FTP Service","Microsoft FTP-tjeneste","Microsoft FTP-service","Usługa FTP firmy Microsoft","Microsoft FTP Service","Serviço de FTP da Microsoft","Microsoft FTP Service","Microsoft FTP Service","Microsoft FTP Service","Microsoft FTP Service","Microsoft FTP Service","Microsoft FTP Service"
"10092","Bytes Sent/sec","Odeslané bajty/s","Byte sendt pr. sek.","Gesendete Bytes/s","Bytes Sent/sec","","","Bytes Sent/sec","Lähetettyjä tavuja sekunnissa","Octets envoyés/s","Octets envoyés/s","Bytes Sent/sec","Küldési sebesség (bájt/s)","Byte inviati/sec","Bytes Sent/sec","Bytes Sent/sec","Byte sendt/sek","Verzonden bytes per seconde","Liczba bajtów wysłanych na sekundę","Bytes Enviados/s","Bytes Enviados/sec","Bytes Sent/sec","Bytes Sent/sec","Bytes Sent/sec","Bytes Sent/sec","Skickade byte/sek.","Gönderilen Bayt/sn"
"10094","Bytes Received/sec","Přijaté bajty/s","Byte modtaget pr. sek.","Empfangene Bytes/s","Bytes Received/sec","","","Bytes Received/sec","Vastaanotettuja tavuja sekunnissa","Octets reçus/s","Octets reçus/s","Bytes Received/sec","Fogadási sebesség (bájt/s)","Byte ricevuti/sec","Bytes Received/sec","Bytes Received/sec","Byte mottatt/sek","Ontvangen bytes per seconde","Liczba bajtów odebranych na sekundę","Bytes Recebidos/s","Bytes Recebidos/segundo","Bytes Received/sec","Bytes Received/sec","Bytes Received/sec","Bytes Received/sec","Mottagna byte/sek.","Alınan Bayt/sn"
"10096","Bytes Total/sec","Bajty celkem/s","Samlet antal byte pr. sek.","Bytes/s insgesamt","Bytes Total/sec","","","Bytes Total/sec","Tavujen kokonaismäärä sekunnissa","Total des octets/s","Total des octets/s","Bytes Total/sec","Teljes átviteli sebesség (bájt/s)","Totale byte/sec","Bytes Total/sec","Bytes Total/sec","Totalt antall byte/sek","Totaal aantal bytes per seconde","Całkowita liczba bajtów na sekundę","Total de Bytes/s","Total de Bytes/sec","Bytes Total/sec","Bytes Total/sec","Bytes Total/sec","Bytes Total/sec","Byte totalt/sek.","Toplam Bayt/sn"
"10098","Total Files Sent","Odeslané soubory (celkem)","Total Files Sent","Gesendete Dateien insgesamt","Total Files Sent","","","Total Files Sent","Lähetettyjä tiedostoja yhteensä","Nb total de fichiers envoyés","Nb total de fichiers envoyés","Total Files Sent","Elküldött fájlok száma összesen","Totale file inviati","Total Files Sent","Total Files Sent","Totalt antall filer sendt","Totaal aantal verzonden bestanden","Całkowita liczba wysłanych plików","Total de Arquivos Enviados","Total de Ficheiros Enviados","Total Files Sent","Total Files Sent","Total Files Sent","Total Files Sent","Totalt antal skickade filer","Gönderilen Toplam Dosya Sayısı"
"1010","Current Sessions","Aktuální relace","Aktuelle sessioner","Aktuelle Sitzungen","Current Sessions","Sesiones actuales","Sesiones actuales","Current Sessions","Nykyiset istunnot","Sessions actives","Sessions actives","Current Sessions","Munkamenetek jelenlegi száma","Sessioni correnti","Current Sessions","Current Sessions","Gjeldende økter","Huidige sessies","Bieżące sesje","Sessões atuais","Sessões atuais","Current Sessions","Current Sessions","Current Sessions","Current Sessions","Aktuella sessioner","Geçerli Oturum Sayısı"
"10100","Total Files Received","Přijaté soubory (celkem)","Total Files Received","Empfangene Dateien insgesamt","Total Files Received","","","Total Files Received","Vastaanotettuja tiedostoja yhteensä","Total des fichiers reçus","Total des fichiers reçus","Total Files Received","Fogadott fájlok száma összesen","Totale file ricevuti","Total Files Received","Total Files Received","Totalt antall filer mottatt","Totaal aantal ontvangen bestanden","Całkowita liczba odebranych plików","Total de Arquivos Recebidos","Total de Ficheiros Recebidos","Total Files Received","Total Files Received","Total Files Received","Total Files Received","Totalt antal mottagna filer","Alınan Toplam Dosya Sayısı"
"10102","Total Files Transferred","Přijaté soubory (celkem)","Samlet antal filer overført","Übertragene Dateien insgesamt","Total Files Transferred","","","Total Files Transferred","Siirrettyjen tiedostojen kokonaismäärä","Nb total de fichiers transférés","Nb total de fichiers transférés","Total Files Transferred","Átvitt fájlok száma","Totale file trasferiti","Total Files Transferred","Total Files Transferred","Totalt antall filer overført","Totaal aantal overgebrachte bestanden","Całkowita liczba przesłanych plików","Total de Arquivos Transferidos","Total de Ficheiros Enviados","Total Files Transferred","Total Files Transferred","Total Files Transferred","Total Files Transferred","Totalt antal överförda filer","Aktarılan Toplam Dosya Sayısı"
"10104","Current Anonymous Users","Anonymní uživatelé (aktuálně)","Current Anonymous Users","Aktuelle anonyme Benutzer","Current Anonymous Users","","","Current Anonymous Users","Anonyymeja käyttäjiä tällä hetkellä","Utilisateurs anonymes actuels","Utilisateurs anonymes actuels","Current Anonymous Users","Jelenleg névtelenül bejelentkezett felhasználók száma","Utenti anonimi correnti","Current Anonymous Users","Current Anonymous Users","Gjeldende anonyme brukere","Actieve anonieme gebruikers","Bieżąca liczba użytkowników anonimowych","Usuários Anônimos Atuais","Utilizadores Anónimos Atuais","Current Anonymous Users","Current Anonymous Users","Current Anonymous Users","Current Anonymous Users","Aktuellt antal anonyma användare","Geçerli Anonim Kullanıcılar"
